MaxWind,AvgTemp,AvgHum,Rain,Hail,DateTime
5.3,5.345833299999996,80.06666483333332,0.0,5.999999999999995,2017-01-01 00:00:00
8.7,5.2380555499999994,70.35388766666665,0.0,5.999999999999995,2017-01-01 01:00:00
7.7,4.596944433333334,69.16444266666666,0.0,5.999999999999995,2017-01-01 02:00:00
4.3,4.075555533333333,69.15055416666665,0.0,5.999999999999995,2017-01-01 03:00:00
4.7,3.4024999833333323,71.71111033333335,0.0,5.999999999999995,2017-01-01 04:00:00
4.2,2.489722233333336,75.20110966666668,0.0,5.999999999999995,2017-01-01 05:00:00
4.0,2.120833333333333,76.13749916666669,0.0,5.999999999999995,2017-01-01 06:00:00
4.7,2.0480555499999986,75.24333183333334,0.0,5.999999999999995,2017-01-01 07:00:00
4.7,2.348333300000001,72.86305483333335,0.0,5.999999999999995,2017-01-01 08:00:00
5.5,2.2188889000000005,72.99860949999999,0.0,5.999999999999995,2017-01-01 09:00:00
5.3,2.982222199999998,68.51027566666666,0.0,5.999999999999995,2017-01-01 10:00:00
10.0,3.9441666333333307,65.6155535,0.0,5.999999999999995,2017-01-01 11:00:00
9.7,4.6463888666666655,67.28083200000002,0.06666667,5.999999999999995,2017-01-01 12:00:00
10.7,4.791388900000003,69.84249866666667,0.9833333100000001,5.999999999999995,2017-01-01 13:00:00
10.8,4.973611116666665,66.66055466666668,0.0,5.999999999999995,2017-01-01 14:00:00
10.1,4.686666666666662,70.0574985,0.0,5.999999999999995,2017-01-01 15:00:00
14.8,4.484166666666668,73.23860933333336,0.0,5.999999999999995,2017-01-01 16:00:00
12.6,3.9516666666666684,76.8613875,13.216666169999998,5.999999999999995,2017-01-01 17:00:00
10.2,4.228611099999998,70.61694266666669,0.0,5.999999999999995,2017-01-01 18:00:00
12.3,4.194444399999998,67.22638766666665,0.0,5.999999999999995,2017-01-01 19:00:00
10.4,3.799444433333333,68.28194250000001,0.0,5.999999999999995,2017-01-01 20:00:00
8.1,3.5508333166666675,67.51083183333334,0.0,5.999999999999995,2017-01-01 21:00:00
6.0,3.208055533333331,67.20527733333334,0.0,5.999999999999995,2017-01-01 22:00:00
4.6,2.4794444333333328,69.84194300000003,0.0,5.999999999999995,2017-01-01 23:00:00
5.9,2.0597222166666667,70.37472116666667,0.0,5.999999999999995,2017-01-02 00:00:00
5.7,2.1405556,67.63555416666665,0.0,5.999999999999995,2017-01-02 01:00:00
4.7,1.7838888666666677,67.78416566666665,0.0,5.999999999999995,2017-01-02 02:00:00
5.8,1.4955555500000008,67.41277633333333,0.0,5.999999999999995,2017-01-02 03:00:00
6.7,1.2811111333333323,68.35083166666666,0.0,5.999999999999995,2017-01-02 04:00:00
6.6,1.225277768333334,67.39527616666666,0.0,5.999999999999995,2017-01-02 05:00:00
6.9,0.6413461538461542,69.67055466666669,0.0,5.999999999999995,2017-01-02 06:00:00
6.7,1.0580555566666674,68.80694216666667,0.0,5.999999999999995,2017-01-02 07:00:00
7.5,1.1027777516666666,69.32638799999998,0.0,5.999999999999995,2017-01-02 08:00:00
6.8,1.283333333333333,70.05999883333334,0.0,5.999999999999995,2017-01-02 09:00:00
7.8,1.8888888999999998,70.132776,0.0,5.999999999999995,2017-01-02 10:00:00
9.6,2.685555533333333,69.41861016666665,0.0,5.999999999999995,2017-01-02 11:00:00
9.1,3.4166666499999994,67.62944350000001,0.0,5.999999999999995,2017-01-02 12:00:00
10.7,3.9702777166666654,67.1205545,0.0,5.999999999999995,2017-01-02 13:00:00
8.0,4.361666666666669,69.31749800000004,0.0,5.999999999999995,2017-01-02 14:00:00
8.0,4.1111111,74.03722133333333,0.0,5.999999999999995,2017-01-02 15:00:00
7.4,3.505277766666666,78.97166483333334,0.0,5.999999999999995,2017-01-02 16:00:00
7.4,3.5683333000000004,79.56333183333335,0.0,5.999999999999995,2017-01-02 17:00:00
7.4,3.6611110666666646,79.62638783333333,0.0,5.999999999999995,2017-01-02 18:00:00
6.0,3.504999983333335,79.99749866666666,0.0,5.999999999999995,2017-01-02 19:00:00
7.2,3.314444383333333,80.45610966666666,0.0,5.999999999999995,2017-01-02 20:00:00
7.7,3.8522222166666675,78.71777599999997,0.0,5.999999999999995,2017-01-02 21:00:00
9.6,3.960555550000001,79.07305383333332,0.0,5.999999999999995,2017-01-02 22:00:00
10.3,4.311666683333336,77.8644425,0.0,5.999999999999995,2017-01-02 23:00:00
13.5,4.7225,76.95749949999997,0.0,5.999999999999995,2017-01-03 00:00:00
14.3,5.105000016666666,76.9794425,0.0,5.999999999999995,2017-01-03 01:00:00
14.5,5.357777733333336,76.70138699999998,0.0,5.999999999999995,2017-01-03 02:00:00
12.3,5.401944450000002,77.53333150000003,0.0,5.999999999999995,2017-01-03 03:00:00
11.8,5.51249973333333,78.70694366666666,0.0,5.999999999999995,2017-01-03 04:00:00
14.2,6.000555433333335,78.01277716666668,0.0,5.999999999999995,2017-01-03 05:00:00
15.0,6.26194385,78.54611016666667,0.0,5.999999999999995,2017-01-03 06:00:00
13.5,6.631388750000001,78.67055366666666,0.0,5.999999999999995,2017-01-03 07:00:00
15.0,6.789166550000004,79.62083216666666,0.0,5.999999999999995,2017-01-03 08:00:00
16.8,7.173888850000002,79.026943,0.35000004999999995,5.999999999999995,2017-01-03 09:00:00
14.2,7.364444383333325,78.33749800000001,0.10000001,5.999999999999995,2017-01-03 10:00:00
15.3,7.39277776666666,78.59944233333334,1.9,5.999999999999995,2017-01-03 11:00:00
13.1,7.666388333333329,76.77888733333332,0.0,5.999999999999995,2017-01-03 12:00:00
